id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
h_168, 32768, 2794794, 0.00, 32746, 2794370, 0.12, 32741, 2793462, 2.03, 32739, 2793273, 20.86, 32739, 2793303, 26.50, 32740, 2793406, 29.36, 32739, 2793303, 32.91, 32740, 2793359, 36.76, 32740, 2793359, 40.57, 32739, 2793303, 50.41, 32741, 2793462, 52.99, 32741, 2793433, 61.24, 32741, 2793462, 63.33, 32741, 2793462, 66.08
h_169, 32768, 2808603, 0.00, 32723, 2807547, 0.11, 32720, 2806703, 1.35, 32719, 2806553, 26.54, 32720, 2806703, 29.28, 32720, 2806703, 30.77, 32720, 2806703, 32.33, 32720, 2806703, 34.24, 32720, 2806703, 36.30, 32719, 2806599, 45.79, 32720, 2806703, 47.70, 32720, 2806657, 55.13, 32720, 2806703, 56.53, 32720, 2806703, 58.52
h_170, 32768, 2838628, 0.00, 29712, 2409626, 1.75, 29712, 2409626, 3.37, 29712, 2409626, 7.87, 29712, 2409626, 9.90, 29712, 2409626, 11.63, 29712, 2409626, 13.27, 29712, 2409626, 14.83, 29712, 2409626, 16.39, 29712, 2409626, 19.80, 29712, 2409626, 21.32, 29712, 2409626, 23.01, 29712, 2409626, 24.70, 29712, 2409626, 26.60
h_171, 131072, 2741624, 0.00, 130027, 2695663, 0.21, 114429, 1720777, 8.65, 59655, 381011, 88.81, 59997, 384689, 160.58, 68919, 501041, 207.26, 63107, 422151, 253.60, 94506, 966758, 322.68, 99948, 1199673, 358.73, 61597, 405818, 375.96, 114333, 1716655, 386.86, 114256, 1711218, 397.27, 112727, 1665455, 409.51, 112520, 1659904, 422.00
h_172, 32768, 2840800, 0.00, 29740, 2413360, 1.87, 29740, 2413360, 3.60, 29740, 2413360, 8.28, 29740, 2413360, 10.25, 29740, 2413360, 11.95, 29740, 2413360, 13.61, 29740, 2413360, 15.19, 29740, 2413360, 16.93, 29740, 2413360, 20.86, 29740, 2413360, 22.75, 29740, 2413360, 24.68, 29740, 2413360, 26.44, 29740, 2413360, 28.08
h_173, 32768, 2843144, 0.00, 29795, 2420962, 1.78, 29795, 2420962, 3.57, 29795, 2420962, 8.10, 29795, 2420962, 10.10, 29795, 2420962, 11.78, 29795, 2420962, 13.57, 29795, 2420962, 15.23, 29795, 2420962, 16.89, 29795, 2420962, 20.72, 29795, 2420962, 22.51, 29795, 2420962, 24.43, 29795, 2420962, 26.14, 29795, 2420962, 27.94
h_174, 131072, 2754294, 0.00, 130067, 2701388, 0.21, 114972, 1738436, 8.67, 59822, 382961, 89.91, 60163, 386690, 165.98, 68565, 497091, 215.24, 63301, 424724, 262.75, 94175, 963669, 339.56, 100430, 1211176, 376.75, 61694, 407983, 394.96, 114882, 1734243, 406.00, 114803, 1729230, 416.63, 113545, 1693475, 430.59, 113319, 1688088, 444.62
h_175, 131072, 2757784, 0.00, 130914, 2754523, 0.23, 129745, 2400417, 6.32, 109381, 1407444, 153.09, 109675, 1419305, 265.57, 115449, 1629816, 307.67, 111405, 1482411, 354.62, 120322, 1818284, 407.66, 121641, 1913543, 441.43, 110361, 1448279, 463.37, 129685, 2395127, 474.12, 129640, 2381422, 482.43, 129625, 2388305, 493.68, 129603, 2386147, 504.42
h_176, 131072, 2777076, 0.00, 130970, 2775756, 0.20, 129890, 2424988, 6.80, 109384, 1405713, 153.49, 109615, 1416086, 273.29, 115449, 1626319, 318.15, 111421, 1478858, 369.81, 120268, 1824857, 441.03, 121966, 1951538, 476.01, 110353, 1448031, 499.12, 129855, 2419694, 510.67, 129795, 2403377, 520.78, 129803, 2413181, 532.13, 129754, 2409761, 544.40
h_177, 131072, 2784435, 0.00, 130955, 2781917, 0.20, 129790, 2429818, 6.70, 108882, 1404355, 151.09, 109131, 1416178, 269.05, 115342, 1633685, 312.40, 110941, 1479400, 360.53, 119932, 1822296, 422.41, 121796, 1959417, 458.29, 109856, 1446393, 483.24, 129770, 2425575, 494.06, 129680, 2410021, 503.21, 129621, 2416544, 515.31, 129540, 2412843, 527.17
h_178, 131072, 2785982, 0.00, 131040, 2785640, 0.26, 130916, 2573723, 4.68, 130246, 2509966, 106.53, 130302, 2545113, 143.98, 130649, 2563437, 153.50, 130380, 2552931, 165.58, 130481, 2556281, 177.98, 130526, 2558445, 193.36, 130342, 2552065, 209.15, 130913, 2569404, 220.90, 130899, 2537085, 236.40, 130905, 2572936, 243.87, 130901, 2572908, 254.43
h_179, 131072, 2921009, 0.00, 130768, 2907824, 0.21, 119530, 2057654, 6.10, 53179, 308205, 59.39, 53224, 308766, 110.61, 57563, 360546, 149.94, 54871, 327753, 189.49, 104124, 1312498, 254.43, 109180, 1579778, 283.53, 54155, 320582, 297.30, 119499, 2056439, 305.75, 119499, 2056294, 314.05, 118754, 2034241, 324.11, 118720, 2033077, 334.32
h_180, 131072, 2949960, 0.00, 131060, 2949843, 0.22, 130986, 2695470, 4.12, 129634, 2627848, 40.02, 129643, 2632512, 64.42, 129850, 2645723, 72.57, 129670, 2638431, 82.44, 130590, 2677933, 90.51, 130577, 2677423, 98.92, 129646, 2637463, 110.35, 130986, 2691242, 117.73, 130981, 2686599, 123.39, 130986, 2694437, 129.58, 130981, 2694424, 135.38
h_181, 131072, 2950732, 0.00, 131059, 2950586, 0.20, 131013, 2696403, 3.63, 129763, 2633862, 42.17, 129772, 2638665, 66.64, 129973, 2651321, 74.25, 129800, 2643997, 82.71, 130641, 2680158, 90.24, 130630, 2679721, 97.65, 129770, 2642908, 106.69, 131013, 2692665, 113.76, 131013, 2687967, 118.18, 131013, 2695634, 123.22, 131013, 2695656, 129.23
h_182, 131072, 2951641, 0.00, 131058, 2951505, 0.21, 131007, 2697263, 3.32, 129717, 2633212, 39.55, 129721, 2637543, 64.05, 129918, 2650012, 71.50, 129745, 2642889, 80.21, 130596, 2679549, 89.42, 130596, 2679545, 97.65, 129725, 2642229, 107.82, 131007, 2693349, 114.73, 131007, 2688806, 118.81, 131007, 2696351, 123.98, 131007, 2696316, 129.18
h_183, 131072, 3115621, 0.00, 131072, 3115621, 0.17, 131029, 2963971, 1.60, 126958, 2771517, 17.45, 126958, 2771518, 29.64, 127019, 2774193, 37.31, 126960, 2771787, 45.43, 130839, 2955085, 49.62, 130839, 2955085, 53.90, 126960, 2771787, 64.30, 131029, 2963971, 66.07, 131029, 2963971, 68.26, 131029, 2963773, 70.33, 131029, 2963772, 72.55
h_184, 32768, 3221596, 0.00, 32768, 3221596, 0.12, 32768, 3221596, 3.51, 32768, 3221596, 45.96, 32768, 3221596, 51.63, 32768, 3221596, 55.20, 32768, 3221596, 58.97, 32768, 3221596, 62.79, 32768, 3221596, 66.64, 32768, 3221596, 92.89, 32768, 3221596, 97.85, 32768, 3221596, 113.90, 32768, 3221596, 117.68, 32768, 3221596, 123.23
h_185, 32768, 3222505, 0.00, 32768, 3222505, 0.12, 32768, 3222505, 3.62, 32768, 3222505, 45.29, 32768, 3222505, 50.67, 32768, 3222505, 54.17, 32768, 3222505, 57.72, 32768, 3222505, 61.50, 32768, 3222505, 65.36, 32768, 3222505, 91.39, 32768, 3222505, 96.61, 32768, 3222505, 113.30, 32768, 3222505, 116.69, 32768, 3222505, 122.01
h_186, 566326, 2770690, 0.00, 549251, 2745294, 1.22, 96919, 354849, 3.65, 96919, 354849, 23.46, 96919, 354849, 27.02, 96919, 354849, 29.42, 96919, 354849, 31.82, 96919, 354849, 34.40, 96919, 354849, 37.01, 96919, 354849, 48.81, 96919, 354849, 51.84, 96919, 354849, 59.72, 96919, 354849, 62.28, 96919, 354849, 66.07
h_187, 131072, 3225441, 0.00, 131072, 3225441, 0.16, 516, 9108, 1.49, 9, 18, 3.52, 9, 18, 5.45, 9, 18, 7.35, 9, 18, 9.23, 516, 9108, 10.61, 516, 9108, 11.93, 9, 18, 13.34, 516, 9108, 14.73, 516, 9108, 16.22, 516, 9108, 17.58, 516, 9108, 18.93
h_188, 262140, 3100200, 0.00, 163662, 1189436, 7.74, 163662, 1189436, 13.57, 163644, 1189340, 20.98, 163662, 1189436, 27.55, 163662, 1189436, 33.41, 163655, 1189392, 38.87, 163662, 1189436, 45.07, 163662, 1189436, 51.19, 163662, 1189436, 57.57, 163662, 1189436, 63.53, 163662, 1189436, 69.78, 163662, 1189436, 75.91, 163662, 1189436, 82.13
h_189, 262141, 3100310, 0.00, 163823, 1191802, 7.86, 163823, 1191802, 13.07, 163816, 1191758, 20.43, 163823, 1191802, 26.23, 163823, 1191802, 31.73, 163823, 1191802, 37.13, 163823, 1191802, 42.63, 163823, 1191802, 48.16, 163823, 1191802, 53.99, 163823, 1191802, 59.25, 163801, 1191726, 64.77, 163823, 1191802, 70.19, 163823, 1191802, 75.69
h_190, 131072, 3244452, 0.00, 131072, 3244452, 0.16, 3657, 86742, 4.40, 8, 16, 12.08, 8, 16, 19.27, 8, 16, 26.40, 8, 16, 33.80, 3657, 86742, 38.22, 3657, 86742, 42.65, 8, 16, 47.25, 3657, 86742, 51.70, 3657, 86742, 56.07, 3657, 86742, 60.54, 3657, 86742, 65.09
h_191, 131072, 3275806, 0.00, 131072, 3275806, 0.16, 4513, 111314, 5.54, 4, 8, 13.76, 4, 8, 22.15, 4, 8, 30.38, 4, 8, 38.77, 4513, 111314, 43.90, 4513, 111314, 49.20, 4, 8, 54.89, 4513, 111314, 60.14, 4513, 111314, 65.56, 4513, 111314, 70.89, 4513, 111314, 76.24
h_192, 32768, 3726392, 0.00, 32550, 3693014, 2.49, 32550, 3693014, 4.04, 32550, 3693014, 10.71, 32550, 3693014, 13.85, 32550, 3693014, 15.66, 32550, 3693014, 17.50, 32550, 3693014, 19.23, 32550, 3693014, 21.06, 32550, 3693014, 26.55, 32550, 3693014, 28.30, 32550, 3693014, 30.22, 32550, 3693014, 31.89, 32550, 3693014, 33.56
h_193, 32768, 3734348, 0.00, 32563, 3702362, 1.23, 32563, 3702362, 2.83, 32563, 3702362, 9.20, 32563, 3702362, 11.55, 32563, 3702362, 13.32, 32563, 3702362, 15.05, 32563, 3702362, 17.00, 32563, 3702362, 18.80, 32563, 3702362, 25.22, 32563, 3702362, 26.90, 32563, 3702362, 28.78, 32563, 3702362, 31.25, 32563, 3702362, 33.07
h_194, 4096, 4194304, 0.00, 4096, 4194304, 0.09, 4096, 4194304, 9.83, 4096, 4194304, 174.28, 4096, 4194304, 194.76, 4096, 4194304, 205.86, 4096, 4194304, 216.82, 4096, 4194304, 228.26, 4096, 4194304, 239.76, 4096, 4194304, 290.26, 4096, 4194304, 310.93, 4096, 4194304, 328.69, 4096, 4194304, 339.98, 4096, 4194304, 451.45
h_195, 4096, 4194304, 0.00, 4096, 4194304, 0.10, 4096, 4194304, 10.10, 4096, 4194304, 174.90, 4096, 4194304, 195.72, 4096, 4194304, 206.75, 4096, 4194304, 217.62, 4096, 4194304, 229.18, 4096, 4194304, 241.26, 4096, 4194304, 291.90, 4096, 4194304, 312.07, 4096, 4194304, 329.57, 4096, 4194304, 340.71, 4096, 4194304, 452.47
