id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
e_068, 4067, 24043, 0.00, 3203, 20333, 0.00, 890, 4821, 0.02, 421, 1196, 0.06, 421, 1196, 0.09, 421, 1196, 0.13, 426, 1206, 0.16, 421, 1196, 0.20, 421, 1196, 0.23, 421, 1196, 0.27, 421, 1196, 0.30, 421, 1196, 0.34, 493, 1390, 0.37, 421, 1196, 0.41
e_069, 4053, 22368, 0.00, 2832, 16816, 0.00, 764, 3771, 0.01, 426, 1129, 0.04, 426, 1129, 0.07, 426, 1129, 0.10, 433, 1181, 0.12, 426, 1129, 0.15, 426, 1129, 0.18, 426, 1129, 0.22, 426, 1129, 0.26, 426, 1129, 0.29, 427, 1146, 0.31, 426, 1129, 0.34
e_070, 1817, 5184, 0.00, 513, 1624, 0.00, 33, 98, 0.00, 28, 58, 0.00, 28, 58, 0.00, 28, 58, 0.00, 28, 58, 0.00, 28, 58, 0.01, 28, 58, 0.01, 28, 58, 0.01, 28, 58, 0.01, 28, 58, 0.01, 28, 58, 0.01, 28, 58, 0.01
e_071, 1789, 4896, 0.00, 398, 1254, 0.00, 31, 86, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00, 24, 48, 0.00
e_072, 3968, 18054, 0.00, 2212, 11498, 0.00, 609, 2618, 0.01, 331, 862, 0.04, 331, 862, 0.07, 331, 862, 0.09, 332, 870, 0.11, 331, 862, 0.14, 331, 862, 0.16, 331, 862, 0.18, 331, 862, 0.21, 331, 862, 0.23, 379, 1000, 0.25, 331, 862, 0.28
e_073, 8132, 51796, 0.00, 6192, 41910, 0.01, 2050, 10794, 0.05, 976, 2877, 0.15, 976, 2877, 0.24, 976, 2877, 0.32, 991, 2949, 0.41, 976, 2877, 0.50, 976, 2877, 0.59, 976, 2877, 0.68, 976, 2877, 0.78, 976, 2877, 0.87, 989, 2955, 0.95, 976, 2877, 1.04
e_074, 802, 1525, 0.00, 248, 671, 0.00, 5, 16, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_075, 8189, 31504, 0.00, 5402, 19961, 0.01, 685, 1802, 0.02, 568, 1371, 0.04, 568, 1371, 0.07, 568, 1371, 0.09, 571, 1383, 0.11, 568, 1371, 0.13, 568, 1371, 0.15, 568, 1371, 0.18, 568, 1371, 0.20, 568, 1371, 0.22, 568, 1371, 0.24, 568, 1371, 0.26
e_076, 8153, 51863, 0.00, 6867, 45423, 0.01, 1604, 9140, 0.04, 599, 1542, 0.10, 599, 1542, 0.17, 599, 1542, 0.24, 599, 1542, 0.31, 599, 1542, 0.39, 599, 1542, 0.46, 599, 1542, 0.53, 599, 1542, 0.60, 599, 1542, 0.67, 708, 1824, 0.73, 599, 1542, 0.80
e_077, 8168, 54744, 0.00, 7402, 51303, 0.01, 1122, 6417, 0.03, 446, 1028, 0.09, 446, 1028, 0.15, 446, 1028, 0.21, 446, 1028, 0.27, 446, 1028, 0.34, 446, 1028, 0.40, 446, 1028, 0.46, 446, 1028, 0.53, 446, 1028, 0.59, 498, 1159, 0.64, 446, 1028, 0.70
