id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
h_191, 131072, 3275806, 0.00, 131072, 3275806, 0.19, 4513, 111314, 5.42, 4, 8, 14.66, 4, 8, 23.19, 4, 10, 26.28, 130607, 3241627, 34.44, 130633, 3242387, 39.06, 4, 10, 41.86, 131072, 3275806, 42.04, 131072, 3268113, 42.92, 131072, 3275806, 43.10, 131072, 3275806, 43.28
h_192, 32768, 3726392, 0.00, 32550, 3693014, 1.31, 32550, 3693014, 3.90, 32550, 3693014, 10.91, 32550, 3693014, 13.84, 32550, 3693014, 15.89, 32550, 3693014, 17.26, 32550, 3693014, 18.96, 32550, 3693014, 25.23, 32550, 3693014, 26.66, 32550, 3693014, 28.18, 32550, 3693014, 29.18, 32550, 3693014, 30.24
h_193, 32768, 3734348, 0.00, 32563, 3702362, 1.30, 32563, 3702362, 3.33, 32563, 3702362, 10.84, 32563, 3702362, 13.89, 32563, 3702362, 15.23, 32563, 3702362, 16.77, 32563, 3702362, 17.97, 32563, 3702362, 23.59, 32563, 3702362, 25.80, 32563, 3702362, 27.13, 32563, 3702362, 28.42, 32563, 3702362, 29.60
h_194, 4096, 4194304, 0.00, 4096, 4194304, 0.11, 4096, 4194304, 12.62, 4096, 4194304, 183.67, 4096, 4194304, 205.28, 4096, 4194304, 205.64, 4096, 4194304, 206.34, 4096, 4194304, 206.87, 4096, 4194304, 248.71, 4096, 4194304, 248.86, 4096, 4194304, 254.60, 4096, 4194304, 254.70, 4096, 4194304, 254.84
h_195, 4096, 4194304, 0.00, 4096, 4194304, 0.13, 4096, 4194304, 13.24, 4096, 4194304, 187.09, 4096, 4194304, 211.43, 4096, 4194304, 211.65, 4096, 4194304, 212.19, 4096, 4194304, 212.89, 4096, 4194304, 256.51, 4096, 4194304, 256.61, 4096, 4194304, 262.11, 4096, 4194304, 262.22, 4096, 4194304, 262.32
h_196, 8192, 4194304, 0.00, 8192, 4194304, 0.15, 8192, 4194304, 11.13, 8192, 4194304, 60.16, 8192, 4194304, 75.90, 8192, 4194304, 76.11, 8192, 4194304, 76.36, 8192, 4194304, 76.61, 8192, 4194304, 100.76, 8192, 4194304, 100.92, 8192, 4194304, 107.21, 8192, 4194304, 107.32, 8192, 4194304, 107.43
h_197, 8192, 4194304, 0.00, 8192, 4194304, 0.12, 8192, 4194304, 9.48, 8192, 4194304, 59.57, 8192, 4194304, 75.07, 8192, 4194304, 75.28, 8192, 4194304, 75.52, 8192, 4194304, 75.83, 8192, 4194304, 99.72, 8192, 4194304, 99.82, 8192, 4194304, 106.07, 8192, 4194304, 106.18, 8192, 4194304, 106.30
h_198, 962897, 4419758, 0.00, 887706, 4300594, 3.11, 232674, 851805, 9.17, 232674, 851805, 71.21, 232674, 851805, 77.88, 887706, 4300594, 82.42, 797670, 3699068, 3745.93, 887706, 4300594, 3848.77, 887706, 4300594, 3952.26, 887706, 4300594, 3953.68, 887505, 4298300, 4189.39, 887706, 4300594, 4191.48, 887706, 4300594, 4193.61
h_199, 875713, 5105039, 0.00, 196078, 1756279, 3.57, 4161, 25256, 6.43, 3055, 13224, 12.05, 3125, 13650, 16.59, 5749, 31726, 38.31, 96439, 631592, 241.60, 166623, 1407244, 278.84, 35468, 257656, 430.24, 196078, 1756279, 430.44, 153756, 1044735, 493.18, 196078, 1756279, 493.46, 196078, 1756279, 493.77
h_200, 2394385, 5021410, 0.00, 122, 261, 20.24, 12, 24, 20.41, 12, 24, 20.41, 12, 24, 20.41, 12, 27, 20.41, 122, 261, 20.41, 122, 261, 20.41, 12, 27, 20.41, 122, 261, 20.41, 122, 259, 20.41, 122, 261, 20.41, 122, 261, 20.41
