id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_186, 2047, 23928, 0.00, 1973, 23543, 0.00, 1845, 19433, 0.04, 1733, 16698, 0.60, 1746, 17631, 0.85, 1770, 18164, 0.95, 1790, 18485, 1.02, 1783, 18346, 1.10, 1737, 17528, 1.32, 1845, 19354, 1.41, 1838, 18539, 1.63, 1829, 19283, 1.72, 1824, 19195, 1.87
e_187, 1024, 3632, 0.00, 427, 2073, 0.00, 424, 2012, 0.00, 424, 2010, 0.94, 424, 2012, 0.94, 424, 2012, 0.94, 424, 2012, 0.94, 424, 2012, 0.95, 424, 2012, 1.24, 424, 2012, 1.24, 424, 2010, 1.44, 424, 2012, 1.44, 424, 2012, 1.53
e_188, 4096, 62913, 0.00, 4092, 62899, 0.00, 4053, 56642, 0.04, 3777, 49284, 0.27, 3777, 49284, 0.47, 3782, 49368, 0.63, 4018, 55781, 0.70, 4017, 55765, 0.77, 3782, 49368, 0.89, 4053, 56639, 0.93, 4053, 56639, 0.98, 4053, 56627, 1.03, 4053, 56627, 1.07
e_189, 999, 2048, 0.00, 243, 855, 0.00, 243, 855, 0.00, 243, 855, 0.04, 243, 855, 0.04, 243, 855, 0.04, 243, 855, 0.04, 243, 855, 0.04, 243, 855, 0.06, 243, 855, 0.06, 243, 855, 0.06, 243, 855, 0.06, 243, 855, 0.07
e_190, 2048, 7005, 0.00, 649, 3189, 0.00, 647, 3155, 0.00, 646, 3140, 0.41, 647, 3155, 0.41, 647, 3155, 0.41, 647, 3155, 0.41, 647, 3155, 0.42, 647, 3155, 0.64, 647, 3155, 0.65, 646, 3140, 0.84, 647, 3155, 0.85, 647, 3155, 0.91
e_191, 2005, 4143, 0.00, 511, 1871, 0.00, 511, 1871, 0.00, 511, 1871, 0.03, 511, 1871, 0.03, 511, 1871, 0.03, 511, 1871, 0.03, 511, 1871, 0.03, 511, 1871, 0.04, 511, 1871, 0.04, 511, 1871, 0.05, 511, 1871, 0.05, 511, 1871, 0.06
e_192, 2048, 7307, 0.00, 812, 4093, 0.00, 812, 4084, 0.00, 812, 4080, 0.10, 812, 4084, 0.10, 812, 4084, 0.10, 812, 4084, 0.10, 812, 4084, 0.10, 812, 4084, 0.14, 812, 4084, 0.14, 812, 4080, 0.18, 812, 4084, 0.18, 812, 4084, 0.19
e_193, 1024, 17144, 0.00, 1005, 17001, 0.00, 994, 15983, 0.01, 985, 15639, 0.25, 986, 15815, 0.30, 987, 15844, 0.33, 990, 15886, 0.35, 992, 15939, 0.38, 988, 15873, 0.43, 994, 15980, 0.45, 994, 15822, 0.60, 994, 15980, 0.62, 994, 15982, 0.67
e_194, 2048, 15440, 0.00, 1522, 13090, 0.00, 1522, 13055, 0.01, 1522, 13052, 0.36, 1522, 13055, 0.38, 1522, 13055, 0.39, 1522, 13055, 0.40, 1522, 13055, 0.42, 1522, 13055, 0.62, 1522, 13055, 0.64, 1522, 13052, 0.85, 1522, 13055, 0.86, 1522, 13055, 0.89
e_195, 1024, 32768, 0.00, 1024, 32768, 0.00, 1024, 32768, 0.01, 1024, 32768, 0.09, 1024, 32768, 0.12, 1024, 32768, 0.12, 1024, 32768, 0.14, 1024, 32768, 0.14, 1024, 32768, 0.18, 1024, 32768, 0.20, 1024, 32768, 0.22, 1024, 32768, 0.23, 1024, 32768, 0.26
e_196, 1024, 16384, 0.00, 1024, 16384, 0.00, 1024, 16384, 0.01, 1024, 16384, 0.07, 1024, 16384, 0.08, 1024, 16384, 0.08, 1024, 16384, 0.09, 1024, 16384, 0.09, 1024, 16384, 0.12, 1024, 16384, 0.13, 1024, 16384, 0.15, 1024, 16384, 0.15, 1024, 16384, 0.17
